volatile acidity,citric acid,chlorides,sulphates,alcohol,quality
0.64,0.1,0.115,0.69,10.1,7
0.67,0.05,0.107,0.63,10.1,5
0.845,0.01,0.07,0.58,11,4
0.48,0.3,0.066,0.67,11.2,7
0.42,0.27,0.068,0.57,11.3,6
0.43,0.39,0.106,0.5,9.6,5
0.88,0.25,0.104,0.67,11.2,5
0.36,0.65,0.096,0.84,14.9,5
0.33,0.59,0.079,0.54,12,6
0.47,0.47,0.074,0.46,9.5,5
0.55,0.17,0.087,0.61,9.4,5
0.43,0.39,0.106,0.5,9.6,5
0.5,0.59,0.073,0.68,10.5,7
0.52,0.07,0.074,0.81,9.6,6
0.84,0.02,0.096,0.57,11,4
0.52,0.07,0.074,0.81,9.6,6
0.42,0.31,0.08,0.64,9,5
0.57,0.06,0.076,0.7,9.6,6
0.28,0.46,0.05,0.79,10.2,6
0.4,0.52,0.092,0.66,10.2,5
0.59,0.14,0.084,0.56,9.7,5
0.49,0.36,0.222,0.6,9.5,6
0.34,0.45,0.082,0.66,9.2,6
0.73,0.43,0.059,0.57,11,5
0.34,0.45,0.082,0.66,9.2,6
0.4,0.24,0.083,0.58,10,5
0.73,0.21,0.074,0.52,9.5,5
1.24,0.34,0.079,0.53,9.5,5
0.73,0.21,0.074,0.52,9.5,5
0.4,0.41,0.084,0.67,9.3,6
0.41,0.39,0.064,0.65,10.2,5
0.4,0.41,0.084,0.67,9.3,6
0.8,0.11,0.084,0.48,9.9,5
0.78,0.1,0.081,0.53,10,5
0.26,0.45,0.06,0.54,9.6,5
0.43,0.58,0.07,0.49,9,5
0.45,0.23,0.094,0.49,10.2,6
0.46,0.31,0.078,0.54,9.8,5
0.78,0.23,0.059,0.56,11.3,5
0.98,0.32,0.078,0.48,9.4,5
0.78,0.23,0.059,0.56,11.3,5
0.65,0.18,0.07,0.6,9.1,5
0.64,0.23,0.095,0.59,9.7,5
0.66,0.04,0.039,0.47,9.4,5
0.38,0.48,0.157,1.05,9.4,5
1.185,0,0.097,0.54,10.7,3
0.92,0.24,0.087,0.54,9.8,5
0.49,0.51,0.422,1.17,9,5
0.48,0.32,0.084,0.62,9.4,5
0.47,0.31,0.084,0.61,9.4,5
0.47,0.02,0.034,0.62,12.8,6
0.65,0.02,0.066,0.67,9.5,6
0.65,0.02,0.066,0.67,9.5,6
0.615,0.28,0.087,0.53,9.7,5
0.38,0.55,0.071,0.62,10.8,6
1.02,0.43,0.076,0.57,10.1,6
0.65,0.02,0.066,0.67,9.5,6
0.64,0.02,0.067,0.67,9.4,6
0.38,0.48,0.073,0.7,9.6,4
0.765,0.04,0.078,0.54,9.7,4
1.035,0.15,0.073,0.49,9.9,5
0.78,0.08,0.093,0.47,10,5
0.49,0.19,0.077,0.51,10.5,5
0.545,0.12,0.068,0.61,11.6,6
0.31,0.47,0.062,0.66,10,6
1.025,0.43,0.08,0.57,10.1,5
0.565,0.34,0.093,0.61,9.5,5
0.69,0,0.084,0.45,9.4,5
0.43,0.36,0.075,0.46,9.4,5
0.74,0.28,0.078,0.51,9.8,5
0.49,0.18,0.069,0.48,9.2,6
0.43,0.36,0.075,0.46,9.4,5
0.46,0.11,0.079,0.57,10,5
0.56,0.04,0.082,0.44,9.6,5
0.66,0,0.086,0.54,9.5,5
0.56,0.04,0.082,0.44,9.6,5
0.48,0.24,0.094,0.53,9.2,5
0.42,0.08,0.084,0.59,10,5
0.31,0.3,0.053,1.62,9.5,5
1.115,0.1,0.086,0.6,11.2,4
0.66,0.17,0.077,0.55,10.4,5
0.72,0.09,0.084,0.72,11.1,6
0.57,0.02,0.067,0.68,9.5,5
0.57,0.02,0.067,0.68,9.5,5
0.865,0.03,0.071,0.49,12.7,6
0.55,0.66,0.387,0.67,9.6,5
0.875,0.13,0.088,0.52,11.5,5
0.835,0.03,0.092,0.47,9.6,5
0.45,0.34,0.082,0.6,9.5,5
0.56,0.2,0.075,0.62,9.3,5
0.965,0.1,0.112,0.5,9.5,5
0.965,0.1,0.112,0.5,9.5,5
0.59,0,0.093,0.65,9.3,6
0.46,0.23,0.092,0.56,9.2,5
0.69,0,0.088,0.6,9.3,5
0.76,0.29,0.075,0.68,11.5,6
0.53,0.24,0.078,0.57,9.5,5
0.615,0,0.065,0.65,9.2,5
0.41,0.58,0.096,0.53,10,5
0.39,0.54,0.095,0.51,9.5,5
0.51,0.18,0.07,0.73,9.5,6
0.34,0.38,0.08,0.47,9,6
0.33,0.4,0.083,0.48,9.4,5
0.5,0.18,0.071,0.72,9.6,6
0.51,0.18,0.07,0.73,9.5,6
0.65,0.1,0.089,0.55,9.5,5
0.65,0.1,0.089,0.55,9.5,5
0.54,0.13,0.097,0.61,9.4,5
0.65,0.1,0.089,0.55,9.5,5
0.48,0.68,0.415,1.06,9.1,6
0.91,0.07,0.058,0.43,10.7,6
0.98,0.01,0.057,0.46,11.2,6
0.87,0,0.084,0.5,9.8,5
0.87,0,0.084,0.5,9.8,5
0.42,0.21,0.092,0.52,9.2,5
0.58,0.25,0.075,0.57,9.7,5
0.655,0.26,0.096,0.42,9.6,5
0.7,0,0.069,0.53,10,6
0.655,0.26,0.096,0.42,9.6,5
0.68,0.11,0.093,0.55,9.5,6
0.67,0.1,0.091,0.54,9.5,6
0.59,0.18,0.089,0.54,9.4,5
0.6,0.32,0.103,0.62,9.5,5
0.59,0.02,0.082,0.53,9.7,6
0.72,0.01,0.076,0.54,9.6,5
0.59,0.02,0.082,0.53,9.7,6
0.685,0.26,0.082,0.55,9.4,5
0.57,0.27,0.082,0.55,9.4,5
0.4,0.29,0.157,0.92,9.5,6
0.4,0.3,0.157,0.91,9.5,6
1,0,0.102,0.46,10,5
0.765,0.18,0.243,0.6,10.3,6
0.635,0.17,0.241,0.59,10.3,6
0.43,0.3,0.079,0.61,10.5,5
0.52,0.03,0.076,0.6,9.8,5
0.57,0,0.19,0.6,9.4,6
0.46,0.14,0.114,0.65,9.8,5
0.82,0.05,0.081,0.53,10,5
0.46,0.14,0.114,0.65,9.8,5
0.59,0.01,0.077,0.59,9.8,5
0.35,0.41,0.083,0.5,9.5,5
0.35,0.41,0.083,0.5,9.5,5
0.56,0.24,0.079,0.56,10.1,6
0.56,0.24,0.079,0.56,10.1,6
0.63,0.17,0.099,0.52,9.3,5
0.37,0.43,0.082,0.68,9.7,6
0.64,0.17,0.084,0.54,9.6,5
0.61,0.02,0.081,0.6,9.7,6
0.6,0,0.055,0.56,10.8,5
0.27,0.54,0.065,0.53,12.5,6
0.89,0.3,0.132,1.18,10.2,5
0.46,0.31,0.126,0.74,9.6,5
0.37,0.44,0.038,0.81,10.8,7
0.5,0.34,0.082,0.52,10.7,6
0.5,0.34,0.082,0.52,10.7,6
0.61,0.08,0.082,0.51,9.4,5
0.55,0.09,0.068,0.44,10,5
0.585,0,0.044,0.94,12.9,7
0.56,0.08,0.114,0.66,9.6,6
0.52,0.22,0.084,0.57,9.9,6
0.28,0.4,0.052,0.7,12.8,7
0.25,0.39,0.041,0.71,12.5,7
0.28,0.4,0.052,0.7,12.8,7
0.53,0.12,0.165,0.86,9.2,5
0.48,0.31,0.07,0.55,10.3,6
0.49,0.1,0.068,0.47,10.5,5
0.5,0.55,0.072,0.68,10.9,6
0.45,0.33,0.099,0.71,10.8,5
0.39,0.24,0.102,0.58,11.4,4
0.41,0.54,0.103,0.76,11.3,6
0.45,0.33,0.099,0.71,10.8,5
0.51,0.19,0.081,0.58,10.5,6
0.29,0.42,0.084,0.73,11.9,6
0.715,0,0.071,0.45,9.4,5
0.66,0.15,0.097,0.54,9.6,5
0.685,0,0.099,0.6,9.7,5
0.42,0,0.048,0.74,14,7
0.54,0.13,0.076,0.64,9.8,5
0.54,0.13,0.076,0.64,9.8,5
0.48,0.28,0.068,0.53,10.3,5
0.46,0.14,0.076,0.49,10.7,5
0.27,0.34,0.05,0.64,11,7
0.46,0.14,0.076,0.49,10.7,5
0.57,0.09,0.065,0.74,12.7,8
0.61,0.08,0.071,0.77,11.1,6
0.685,0.07,0.058,0.55,10.9,4
0.61,0.08,0.071,0.77,11.1,6
0.44,0.42,0.145,0.86,9.9,3
0.47,0.44,0.147,0.86,9.9,4
0.685,0.26,0.088,0.47,9.4,5
0.665,0.1,0.066,0.51,9.3,5
0.28,0.28,0.012,0.39,11.7,7
0.28,0.28,0.012,0.39,11.7,7
0.31,0.35,0.075,0.83,11.2,7
0.5,0.04,0.092,0.47,10,5
0.42,0.47,0.085,0.77,12.1,7
0.66,0,0.115,0.63,10.3,5
0.5,0.45,0.119,0.72,10.9,6
0.685,0.35,0.088,0.62,9.4,5
0.25,0.46,0.062,0.83,10.6,6
0.64,0.21,0.081,0.66,9.8,5
0.64,0.21,0.081,0.66,9.8,5
0.68,0.16,0.078,0.7,9.9,6
0.64,0.21,0.081,0.66,9.8,5
0.63,0.21,0.08,0.66,9.8,5
0.43,0.44,0.085,0.55,9.5,5
0.43,0.44,0.085,0.55,9.5,5
0.42,0.32,0.08,1.07,9.7,5
0.36,0.39,0.08,0.73,10.9,6
0.36,0.39,0.08,0.73,10.9,6
0.735,0.02,0.071,0.71,11.7,7
0.36,0.39,0.08,0.73,10.9,6
0.26,0.34,0.073,0.78,11.3,7
0.28,0.47,0.054,0.67,10.6,7
0.56,0.22,0.074,0.82,11.2,6
0.62,0.06,0.077,0.54,9.5,5
1.01,0.66,0.039,0.6,11.5,6
0.42,0.32,0.067,0.44,10.4,5
0.62,0.06,0.078,0.53,9.7,5
0.62,0.06,0.077,0.54,9.5,5
0.635,0.07,0.077,0.54,9.7,5
0.49,0.22,0.071,0.83,11.3,6
0.51,0.23,0.072,0.84,11.2,6
0.56,0.22,0.074,0.82,11.2,6
0.63,0.03,0.08,0.64,10.9,6
0.715,0.01,0.064,0.57,11.8,6
0.56,0.03,0.086,0.57,10.6,5
0.35,0.24,0.067,0.54,10,4
0.21,0.37,0.067,0.58,11.1,7
0.38,0.46,0.104,0.65,11.8,7
0.31,0.4,0.109,0.79,11.8,7
0.47,0,0.067,0.58,10.9,4
0.715,0.01,0.064,0.57,11.8,6
0.61,0.19,0.094,0.5,10,6
0.6,0.04,0.076,0.55,9.5,5
0.56,0.18,0.078,0.49,9.9,5
0.715,0,0.068,0.65,11.4,6
0.31,0.29,0.194,0.78,12,6
0.6,0.04,0.076,0.55,9.5,5
0.61,0.19,0.094,0.5,10,6
0.75,0.14,0.086,0.64,10.5,5
0.8,0.12,0.083,0.65,10.4,6
0.52,0.38,0.066,0.79,12.1,7
0.57,0,0.072,0.56,11.2,6
0.9,0.34,0.112,0.68,9.3,5
0.34,0.24,0.071,0.58,10.1,5
0.66,0.03,0.078,0.57,9.7,5
0.45,0.23,0.082,0.65,9.3,6
0.66,0.03,0.078,0.57,9.7,5
0.63,0.03,0.08,0.58,9.8,6
0.59,0.01,0.08,0.58,10.7,6
0.31,0.39,0.078,0.77,12.5,7
0.59,0.01,0.08,0.58,10.7,6
0.31,0.39,0.078,0.77,12.5,7
1.02,0.02,0.084,0.49,11,3
0.31,0.36,0.056,0.69,11.8,5
0.635,0.1,0.08,0.69,10.8,7
0.635,0.1,0.08,0.69,10.8,7
0.59,0.06,0.06,0.59,10.8,7
0.59,0.06,0.06,0.59,10.8,7
0.58,0.2,0.081,0.59,9.5,5
0.54,0.27,0.084,0.71,11,5
0.56,0,0.079,0.54,11.5,6
0.52,0.13,0.078,0.59,10.8,6
0.305,0.39,0.059,0.52,11.5,6
0.38,0.48,0.132,0.57,13.2,6
0.28,0.46,0.114,0.6,10.9,6
0.46,0.44,0.065,0.62,12.2,6
0.395,0.46,0.094,0.64,12.2,7
0.305,0.39,0.059,0.52,11.5,6
0.315,0.4,0.079,0.67,11.9,6
0.715,0.19,0.161,0.61,11,5
0.41,0.31,0.084,0.64,10.1,6
0.36,0.32,0.081,0.72,11,6
0.62,0.12,0.072,0.89,11.8,6
0.41,0.37,0.091,0.56,10.5,5
0.36,0.32,0.081,0.72,11,6
0.62,0.12,0.072,0.89,11.8,6
0.41,0.31,0.084,0.64,10.1,6
0.47,0.27,0.055,0.8,11.2,5
0.22,0.36,0.064,0.87,11,7
0.24,0.33,0.061,0.9,10.2,6
0.67,0.19,0.093,0.59,9.2,4
0.47,0.27,0.055,0.8,11.2,5
0.33,0.38,0.063,0.73,12,7
0.61,0.01,0.08,0.73,10.5,5
0.61,0.01,0.074,0.65,9.8,5
0.4,0.29,0.078,0.59,9.5,6
0.61,0.01,0.074,0.65,9.8,5
0.61,0.01,0.08,0.73,10.5,5
0.3,0.38,0.06,0.72,11.8,6
0.3,0.38,0.06,0.72,11.8,6
0.63,0.5,0.071,0.6,10.4,4
0.38,0.38,0.068,0.72,12.9,7
0.46,0.17,0.073,0.54,11.4,5
0.33,0.52,0.074,0.76,12.4,7
0.27,0.49,0.082,0.52,12.5,7
0.43,0.4,0.092,0.64,10,7
0.5,0.34,0.094,0.6,9.7,7
0.3,0.49,0.09,0.64,12.1,7
0.44,0.42,0.071,0.79,11.1,7
0.44,0.58,0.092,0.99,12,7
0.28,0.48,0.093,0.62,12.4,7
0.12,0.45,0.075,0.76,11.9,7
0.12,0.45,0.075,0.76,11.9,7
0.12,0.45,0.075,0.76,11.9,7
0.28,0.48,0.093,0.62,12.4,7
0.31,0.4,0.058,0.68,11.2,7
0.34,0.48,0.052,0.69,12.1,7
0.43,0.4,0.082,0.54,12.2,6
0.21,0.52,0.09,0.67,10.4,5
0.36,0.52,0.111,0.62,11.3,6
0.37,0.52,0.088,0.58,11.1,6
0.57,0.12,0.12,0.71,11.3,7
0.59,0.05,0.089,0.61,10,5
0.47,0.27,0.058,0.85,11.1,6
0.56,0.14,0.078,0.62,9.3,5
0.57,0.02,0.115,0.69,9.5,5
0.27,0.39,0.1,0.69,11.2,6
0.47,0.27,0.058,0.85,11.1,6
0.34,0.4,0.065,0.86,11,6
0.38,0.41,0.103,0.58,11.9,7
0.66,0.2,0.097,0.48,9.2,5
0.4,0.43,0.068,0.6,12.2,6
0.56,0.09,0.079,0.61,10.2,5
0.26,0.48,0.066,0.87,10.9,6
0.26,0.48,0.066,0.87,10.9,6
0.38,0.5,0.104,0.65,11.6,7
0.34,0.44,0.079,0.63,10.7,5
0.33,0.41,0.073,0.62,12.1,7
0.41,0.3,0.083,0.52,9.4,5
0.41,0.3,0.083,0.52,9.4,5
0.59,0.29,0.109,0.5,9.1,5
0.4,0.32,0.061,0.49,11.3,7
0.45,0.49,0.075,0.63,10.4,5
0.5,0.3,0.065,0.71,10.5,6
0.86,0.26,0.079,0.62,10,5
0.52,0.32,0.07,0.82,12.9,6
0.5,0.3,0.065,0.71,10.5,6
0.45,0.49,0.075,0.63,10.4,5
0.58,0,0.064,0.58,11.3,6
0.34,0.39,0.066,0.55,11.4,7
0.36,0.3,0.08,0.5,9.4,5
0.39,0.12,0.097,0.49,9.4,5
0.295,0.4,0.073,0.51,10.9,6
0.39,0.12,0.097,0.49,9.4,5
0.34,0.28,0.082,0.48,9.4,5
0.4,0.1,0.076,0.48,9.4,6
0.34,0.28,0.082,0.48,9.4,5
0.35,0.45,0.092,0.43,9.4,5
0.6,0.06,0.079,0.62,10.1,6
0.66,0,0.087,0.63,12.8,7
0.66,0,0.087,0.63,12.8,7
0.84,0.34,0.05,0.48,9.1,6
0.69,0,0.055,0.53,12.9,6
0.43,0.3,0.062,0.72,11.5,7
0.35,0.38,0.058,0.82,10.6,7
0.29,0.33,0.063,0.84,11.7,7
0.36,0.32,0.067,0.55,12.8,7
0.43,0.29,0.081,0.54,10.3,5
0.36,0.32,0.067,0.55,12.8,7
0.29,0.33,0.063,0.84,11.7,7
0.3,0.34,0.064,0.84,11.7,7
0.35,0.4,0.11,0.7,12,7
0.5,0.36,0.116,0.68,10.9,5
0.28,0.45,0.067,0.55,12.3,7
0.32,0.31,0.088,0.55,10.4,6
1.005,0.15,0.102,0.48,10,5
0.71,0,0.092,0.58,10,6
0.58,0.16,0.12,0.58,11.2,6
0.39,0.46,0.075,0.84,11.4,6
0.38,0.4,0.068,0.75,12.6,7
0.18,0.37,0.049,0.44,12.7,6
0.18,0.37,0.049,0.44,12.7,6
0.5,0.14,0.078,0.61,10.4,5
0.36,0.66,0.123,0.53,11.9,6
0.36,0.66,0.123,0.53,11.9,6
0.51,0.09,0.062,0.54,10.5,5
0.32,0.42,0.098,0.55,12.3,6
0.58,0.01,0.088,0.56,10.5,7
0.83,0,0.095,0.6,10.4,6
0.31,0.32,0.066,0.56,12.6,6
0.795,0,0.065,0.52,11.6,5
0.34,0.21,0.075,0.54,10.1,6
0.58,0.01,0.088,0.56,10.5,7
0.59,0,0.091,0.55,11.5,7
0.55,0.01,0.093,0.58,11,7
0.82,0,0.095,0.53,9.6,5
0.57,0.08,0.089,0.59,10.4,6
0.745,0.18,0.077,0.47,9.7,6
0.37,0.34,0.085,0.65,10.6,7
0.31,0.34,0.082,0.59,12.5,7
0.91,0.1,0.074,0.56,9.2,5
0.41,0.41,0.078,0.77,12.6,7
0.5,0.21,0.088,0.83,11.1,6
0.965,0,0.088,0.67,10.2,5
0.49,0.19,0.079,0.64,9.8,6
0.5,0.21,0.088,0.83,11.1,6
0.39,0.41,0.069,0.81,10.9,7
0.39,0.33,0.046,0.62,12.2,6
0.44,0,0.07,0.58,11.4,6
0.78,0,0.076,0.62,10.7,6
0.43,0.17,0.082,0.64,10.4,5
0.49,0.36,0.081,0.78,10.9,6
0.5,0.36,0.084,0.77,10.8,6
0.43,0.17,0.082,0.64,10.4,5
0.46,0.59,0.414,1.34,9.2,5
0.605,0.05,0.073,0.55,12.9,5
0.33,0.42,0.07,0.77,12.7,7
0.64,0.27,0.095,0.62,9.1,6
0.64,0.27,0.095,0.62,9.1,6
0.48,0.53,0.101,0.59,12.1,7
0.42,0.25,0.104,0.57,9.1,5
0.53,0.57,0.093,0.76,11.6,7
0.48,0.53,0.101,0.59,12.1,7
0.23,0.57,0.074,0.7,9.9,6
0.4,0.5,0.071,0.69,12.5,8
0.38,0.44,0.098,0.64,11.4,6
0.29,0.65,0.075,0.63,11.8,6
0.74,0.09,0.067,0.57,11.8,6
0.61,0.18,0.083,0.6,10.2,6
0.52,0.08,0.07,0.72,12.5,7
0.31,0.53,0.06,0.83,10.9,7
0.31,0.53,0.06,0.83,10.9,7
0.62,0.35,0.086,0.62,10.8,5
0.33,0.45,0.057,0.89,11.1,7
0.77,0.2,0.098,0.58,9.2,5
0.35,0.26,0.083,0.58,9.5,6
0.62,0.33,0.088,0.58,10.7,6
0.77,0.2,0.098,0.58,9.2,5
0.25,0.34,0.071,0.86,10.2,7
0.32,0.56,0.073,0.73,11.4,6
0.37,0.65,0.08,0.58,11,5
0.37,0.65,0.08,0.58,11,5
0.3,0.68,0.05,0.51,12.3,7
0.27,0.56,0.047,0.51,11.8,6
0.3,0.68,0.05,0.51,12.3,7
0.38,0.3,0.073,0.59,9.5,6
0.42,0.45,0.072,0.77,12,6
0.38,0.3,0.073,0.59,9.5,6
0.48,0.08,0.074,0.49,9.6,5
0.34,0.4,0.055,0.66,11.6,7
0.19,0.42,0.057,0.69,11.2,6
0.41,0.54,0.095,0.76,9.9,7
0.41,0.54,0.095,0.76,9.9,7
0.26,0.54,0.083,0.63,11.8,8
0.34,0.42,0.086,0.6,11.4,6
0.54,0.09,0.081,0.59,11.5,6
0.31,0.36,0.079,0.86,12,7
0.725,0.09,0.117,0.49,10.8,6
0.4,0.47,0.087,0.5,10.5,5
0.725,0.09,0.117,0.49,10.8,6
0.52,0.38,0.096,0.52,9.4,5
0.31,0.45,0.216,0.81,12.5,7
0.52,0.38,0.096,0.52,9.4,5
0.34,0.42,0.072,0.78,12.4,6
0.49,0.27,0.071,0.63,12,6
0.48,0.09,0.078,0.54,11.2,6
0.49,0.27,0.071,0.63,12,6
0.48,0.34,0.073,0.66,12.4,6
0.57,0.28,0.048,0.6,12.8,5
0.23,0.42,0.069,0.54,12.3,6
0.3,0.41,0.068,0.85,11.7,7
0.78,0.1,0.09,0.49,9.5,5
0.47,0.43,0.171,0.76,10.8,6
0.53,0,0.07,0.64,10,6
0.42,0.27,0.092,0.64,12.3,7
0.33,0.41,0.056,0.71,11,6
0.24,0.39,0.074,0.59,9.5,6
0.4,0.5,0.046,0.66,13.6,6
0.69,0.07,0.091,0.6,11.3,6
0.69,0.07,0.091,0.6,11.3,6
0.69,0.07,0.091,0.6,11.3,6
0.39,0.12,0.065,0.53,13.3,6
0.66,0,0.066,0.58,12.9,5
0.54,0.34,0.076,0.72,13.1,8
0.5,0,0.062,0.55,12.3,6
0.47,0,0.055,0.48,12.3,6
0.4,0.37,0.081,0.65,11.2,6
0.58,0,0.096,0.62,11.5,4
0.24,0.35,0.055,0.59,11.3,7
0.29,0.26,0.063,0.54,13.5,6
0.76,0,0.072,0.6,11.5,6
0.43,0.33,0.095,0.68,10,5
0.43,0.35,0.092,0.69,10.5,6
0.6,0,0.058,0.63,10.4,6
0.19,0.21,0.045,0.44,9.5,5
0.36,0.34,0.075,0.88,13.6,7
0.48,0.07,0.089,0.68,11.2,7
0.28,0.35,0.061,0.74,11.8,7
0.25,0.43,0.067,0.6,11.9,6
0.52,0.45,0.08,0.76,11.4,6
0.52,0.45,0.08,0.76,11.4,6
0.41,0.15,0.104,0.58,9.1,5
0.51,0.24,0.079,0.64,9.5,6
0.4,0.3,0.08,0.65,9.5,6
0.38,0.32,0.08,0.85,11,6
0.45,0.11,0.043,0.65,11.4,6
0.22,0.3,0.065,0.82,10,6
0.32,0.23,0.066,0.62,10.1,5
0.2,0.43,0.076,0.81,10.4,6
0.5,0.12,0.178,0.87,9.8,6
0.41,0.45,0.071,0.49,11.8,7
0.39,0.42,0.086,0.66,11.6,6
0.35,0.47,0.061,0.52,12,6
0.33,0.32,0.067,0.76,12.8,7
0.58,0.23,0.044,0.65,12.5,6
0.6,0.25,0.118,0.53,9.8,5
0.42,0.35,0.083,0.66,11.1,6
0.58,0,0.1,0.68,11.4,6
0.6,0.25,0.118,0.53,9.8,5
0.18,0.51,0.071,0.76,11.8,7
0.51,0.18,0.042,0.87,12.9,7
0.41,0.43,0.076,1.16,10.6,6
0.41,0.43,0.11,0.67,10.8,5
0.36,0.57,0.087,0.72,11.1,7
0.45,0.43,0.076,0.75,10.2,6
0.32,0.42,0.075,0.71,11.8,7
0.785,0.24,0.078,0.67,10,5
0.785,0.24,0.078,0.67,10,5
0.44,0.5,0.369,1.1,9.4,5
0.54,0.26,0.111,0.98,10.2,5
0.33,0.39,0.074,0.88,12.4,7
0.34,0.27,0.067,0.56,12,6
0.5,0.29,0.086,0.62,11.5,6
0.36,0.34,0.062,0.67,10.5,6
0.59,0,0.078,0.68,10.8,6
0.42,0.46,0.074,0.74,12.3,6
0.36,0.31,0.079,0.62,9.5,6
0.36,0.31,0.079,0.62,9.5,6
0.61,0,0.095,0.7,11.5,6
0.88,0.03,0.079,0.5,11.2,4
0.66,0,0.052,0.66,12.7,7
0.915,0,0.041,0.73,11.4,5
0.35,0.33,0.076,0.81,11,6
0.35,0.33,0.076,0.81,11,6
0.39,0.43,0.068,0.46,11.4,5
0.4,0.4,0.068,0.86,10.5,6
0.66,0.07,0.07,0.6,9.3,5
0.64,0.23,0.08,0.7,10.9,5
0.43,0.3,0.085,0.46,11.9,6
0.8,0.03,0.079,0.5,12.2,5
0.43,0.3,0.085,0.46,11.9,6
0.64,0.23,0.08,0.7,10.9,5
0.955,0.05,0.075,0.44,9.6,4
0.4,0.57,0.08,0.57,12.5,6
0.885,0,0.166,0.51,10.8,5
0.25,0.37,0.063,0.8,12.4,7
0.885,0,0.166,0.51,10.8,5
0.745,0.12,0.114,0.59,9.5,6
0.43,0.22,0.078,0.6,9.5,6
0.58,0.23,0.076,0.58,9.5,6
0.57,0.21,0.069,0.54,9.8,6
0.26,0.26,0.052,0.79,10.9,6
0.58,0.23,0.076,0.58,9.5,6
0.57,0.21,0.069,0.54,9.8,6
0.34,0.36,0.065,0.54,11.2,7
0.42,0.39,0.068,0.69,11.7,8
0.74,0.19,0.111,0.55,9.4,5
0.36,0.46,0.074,0.85,11,7
0.36,0.46,0.074,0.85,11,7
0.36,0.46,0.074,0.85,11,7
0.72,0.55,0.136,0.94,10,5
0.36,0.46,0.074,0.85,11,7
0.39,0.43,0.071,0.87,11.2,7
0.65,0.02,0.078,0.62,10.4,6
0.44,0.15,0.076,0.62,9.3,5
0.65,0.02,0.078,0.62,10.4,6
0.38,0.42,0.071,0.75,10.5,6
0.33,0.46,0.081,0.48,10.4,6
0.27,0.46,0.095,0.56,11.3,6
0.57,0.31,0.079,0.69,9.5,6
0.34,0.37,0.057,0.81,12,6
0.4,0.31,0.082,0.69,10.6,6
0.39,0.4,0.044,0.83,10.9,6
0.32,0.52,0.132,0.77,11.5,6
0.32,0.52,0.132,0.77,11.5,6
0.53,0.22,0.078,0.46,9.6,6
0.36,0.47,0.074,0.76,12,6
0.39,0.49,0.08,0.82,10.3,6
0.46,0.23,0.091,0.51,9.4,5
0.58,0.03,0.08,0.47,9.2,5
0.58,0.25,0.104,0.72,9.6,5
0.42,0,0.044,0.73,13.6,7
0.43,0.29,0.075,0.64,9.5,5
0.18,0.34,0.066,0.78,11.8,6
0.815,0.01,0.074,0.62,10.8,5
0.43,0.29,0.075,0.64,9.5,5
0.23,0.37,0.057,0.49,9.3,4
0.75,0.01,0.059,0.4,12.8,6
0.33,0.32,0.054,0.56,11.5,4
0.55,0,0.07,0.64,9.4,6
0.75,0.01,0.059,0.4,12.8,6
0.73,0,0.081,0.46,9.6,4
0.67,0,0.057,0.56,11.8,4
0.61,0.2,0.076,0.4,9.3,5
0.37,0.39,0.079,0.59,9.8,5
0.4,0.41,0.058,0.6,12.2,6
0.56,0.22,0.082,0.62,9.5,5
0.29,0.25,0.067,0.54,10.3,6
0.55,0.19,0.082,0.68,10.5,5
0.74,0.07,0.086,0.48,10,5
0.55,0.19,0.082,0.68,10.5,5
0.41,0.33,0.081,0.75,11.1,6
0.6,0.01,0.079,0.61,10.9,6
0.6,0.01,0.079,0.61,10.9,6
0.58,0.14,0.077,0.59,9.8,5
0.72,0,0.123,0.58,9.8,5
0.66,0,0.096,0.58,9.5,5
0.7,0.06,0.079,0.69,10.9,5
0.64,0.02,0.069,0.45,11,5
0.59,0.22,0.082,0.42,9.2,5
0.58,0.28,0.085,0.7,11,6
0.64,0,0.123,0.63,11.3,6
0.64,0,0.123,0.63,11.3,6
0.635,0.68,0.403,1.15,9.3,5
1.02,0,0.083,0.55,11.2,4
0.45,0.38,0.081,0.58,9.8,5
0.78,0,0.089,0.46,9.6,4
0.37,0.32,0.066,0.72,11.8,6
0.57,0.05,0.081,0.6,10.3,6
0.57,0.05,0.081,0.6,10.3,6
0.43,0.5,0.068,0.87,11.4,6
0.41,0.31,0.079,0.55,9.5,6
0.49,0.03,0.044,0.82,14,8
0.38,0.01,0.048,0.75,14,6
0.44,0.2,0.049,0.57,11.7,6
0.46,0,0.077,0.53,11.2,5
0.58,0.2,0.073,0.43,9.3,5
0.58,0.13,0.102,0.53,11.2,6
0.715,0.22,0.075,0.54,9.5,6
0.4,0.4,0.05,0.56,12,4
0.69,0,0.114,0.6,9.7,6
0.715,0.22,0.075,0.54,9.5,6
0.3,0.39,0.062,0.57,11.5,7
0.46,0.2,0.077,0.64,10.4,6
0.46,0.2,0.077,0.64,10.4,6
0.765,0,0.084,0.68,10.9,6
0.63,0.28,0.096,0.63,10.2,6
0.42,0.19,0.071,0.56,10.9,5
0.37,0.5,0.09,0.57,10.5,5
0.16,0.44,0.068,0.54,12.4,6
0.6,0.08,0.056,0.37,13,5
0.6,0.3,0.068,1.17,10.2,5
0.6,0.3,0.068,1.17,10.2,5
0.74,0,0.1,0.59,11,5
0.635,0.1,0.073,0.75,10.9,6
